repo,treatment_date,codeowners_sha,codeowners_path,n_files_total,n_files_covered,coverage_pct,n_rules,single_rule_only,coverage_bucket,error
laravel/framework,2021-01-13,290ca48b2d2ed1eca9cf078038706b9683e0d4f9,.github/CODEOWNERS,1691.0,10.0,0.59,4.0,False,low,
denoland/deno,2021-12-07,5c0636888c7b8686fca671a48718c7cf11ef252f,.github/CODEOWNERS,1775.0,1775.0,100.0,28.0,False,high,
elastic/elasticsearch,2022-07-22,db91e1a06da1ceab6472c1459c244b1c96aeddf3,.github/CODEOWNERS,22730.0,12.0,0.05,12.0,False,low,
swiftlang/swift,2022-09-28,,,,,,,,,no_codeowners_at_commit
AUTOMATIC1111/stable-diffusion-webui,2022-10-11,6d408c06c634cc96480f055941754dcc43f781d9,CODEOWNERS,102.0,102.0,100.0,1.0,True,high,
protocolbuffers/protobuf,2022-10-31,,,,,,,,,no_codeowners_at_commit
LadybirdBrowser/ladybird,2023-01-03,77ea609cd3409a18dcfb4fadac907c36e22dc8f5,.github/CODEOWNERS,11983.0,1040.0,8.68,17.0,False,low,
n8n-io/n8n,2023-03-06,5eb0d524591ef699ebd2631b042982170b5055a8,.github/CODEOWNERS,4270.0,106.0,2.48,1.0,True,low,
Significant-Gravitas/AutoGPT,2023-05-07,dc959596fcaaa549f9e4eedbcb4a2b13698d2682,.github/CODEOWNERS,235.0,10.0,4.26,1.0,True,low,
unionlabs/union,2023-06-04,7b4f8f8281a86d8c77f45524e58d0863fd064fd7,CODEOWNERS,9769.0,11.0,0.11,1.0,True,low,
microsoft/semantic-kernel,2023-06-16,1964f7c002b5b55f164151f9f528ea5fae21b517,.github/CODEOWNERS,1337.0,1280.0,95.74,3.0,False,high,
discourse/discourse,2023-10-13,1a70817962f9f635c4e5f56709b8a3bf310f4c02,CODEOWNERS,33823.0,11.0,0.03,1.0,True,low,
filamentphp/filament,2023-11-18,6389cc340eba9c67fa1a370cc167054bc295f999,.github/CODEOWNERS,3853.0,261.0,6.77,3.0,False,low,
Stirling-Tools/Stirling-PDF,2023-12-28,44e3556382460b2d982f95044d392177dec9993a,.github/CODEOWNERS,852.0,852.0,100.0,1.0,True,high,
chatwoot/chatwoot,2024-02-08,84f6cadae7c839f6d1a57dfc8fe83fbb26dbf5a4,.github/CODEOWNERS,5310.0,1470.0,27.68,3.0,False,mid,
microsoft/vscode,2024-02-08,4217d852aeb1f6fbb920063257ee351de125d92c,.github/CODEOWNERS,7094.0,1.0,0.01,1.0,True,low,
firefly-iii/firefly-iii,2024-03-06,,,,,,,,,no_codeowners_at_commit
ggml-org/llama.cpp,2024-12-02,642330ac7cea11dc1f9d3df2b8f3dbd10b5e3f3e,CODEOWNERS,1044.0,2.0,0.19,1.0,True,low,
huggingface/transformers,2025-01-08,a6256ec0982fee2c57cc41237bff7e64ed4dcda9,CODEOWNERS,4916.0,4916.0,100.0,22.0,False,high,
firecrawl/firecrawl,2025-02-25,0f0520391a0c679ad41ac6ddb84ac22464adcac4,.github/CODEOWNERS,517.0,332.0,64.22,40.0,False,mid,
hashicorp/vagrant,2025-03-20,03371fde34bb43c63ef3cb0015b3032874841210,.github/CODEOWNERS,1935.0,1935.0,100.0,1.0,True,high,
JetBrains/kotlin,2025-04-07,1311e6d07dc346e9fd72971333eeeb37e6587706,.github/CODEOWNERS,42558.0,8711.0,20.47,92.0,False,mid,
oven-sh/bun,2025-05-06,b478171202b69075e54d4b1f7363055a0f92c219,.github/CODEOWNERS,10177.0,172.0,1.69,9.0,False,low,
Homebrew/brew,2025-05-27,9425734b4ff02794d3008518354a97f4adbf0e30,CODEOWNERS,2682.0,1.0,0.04,1.0,True,low,
langgenius/dify,2025-11-28,ddad2460f3ee4906df6819c48babaeab62221b43,.github/CODEOWNERS,7543.0,7543.0,100.0,144.0,False,high,
anomalyco/opencode,2026-01-05,21053732e77e7f38d0862dd2b00ad1a987a9a191,.github/CODEOWNERS,2654.0,216.0,8.14,3.0,False,low,
zed-industries/zed,2026-02-17,2868c50da98a10ea3f66d2e1ae9308fa630e343f,.github/CODEOWNERS,3764.0,3764.0,100.0,256.0,False,high,
openclaw/openclaw,2026-03-14,e5a42c0becd681f4760d1082bddd3fef4f04bb8b,.github/CODEOWNERS,8523.0,293.0,3.44,46.0,False,low,
