repo,language,stars,treatment_date,caveat
laravel/framework,PHP,34790,2021-01-13,
denoland/deno,Rust,107296,2021-12-07,
elastic/elasticsearch,Java,77165,2022-07-22,
swiftlang/swift,Swift,70117,2022-09-28,
AUTOMATIC1111/stable-diffusion-webui,Python,163875,2022-10-11,
protocolbuffers/protobuf,C++,71402,2022-10-31,
LadybirdBrowser/ladybird,C++,64218,2023-01-03,
n8n-io/n8n,TypeScript,194009,2023-03-06,
Significant-Gravitas/AutoGPT,Python,185156,2023-05-07,
unionlabs/union,Rust,73949,2023-06-04,
microsoft/semantic-kernel,C#,28192,2023-06-16,
discourse/discourse,Ruby,47326,2023-10-13,
filamentphp/filament,PHP,31241,2023-11-18,
Stirling-Tools/Stirling-PDF,Java,84205,2023-12-28,
chatwoot/chatwoot,Ruby,33501,2024-02-08,
microsoft/vscode,TypeScript,186883,2024-02-08,
firefly-iii/firefly-iii,PHP,23818,2024-03-06,
ggml-org/llama.cpp,C++,118065,2024-12-02,
huggingface/transformers,Python,161903,2025-01-08,
firecrawl/firecrawl,TypeScript,138934,2025-02-25,
hashicorp/vagrant,Ruby,27167,2025-03-20,
JetBrains/kotlin,Kotlin,52985,2025-04-07,
oven-sh/bun,Rust,93461,2025-05-06,
Homebrew/brew,Ruby,48629,2025-05-27,
langgenius/dify,TypeScript,146532,2025-11-28,
anomalyco/opencode,TypeScript,178397,2026-01-05,
zed-industries/zed,Rust,85923,2026-02-17,2026-02-17 -- only ~6 weeks of post-period data
openclaw/openclaw,TypeScript,380382,2026-03-14,2026-03-14 -- only ~2 weeks of post-period data
