repo_name,week,n_prs,mean_log_hours,mean_hours,merge_rate,is_treated_repo,treatment_date,event_time_weeks,post,treated,treated_x_post,event_quarter,eq_m8,eq_m7,eq_m6,eq_m5,eq_m4,eq_m3,eq_m2,eq_0,eq_1,eq_2,eq_3,eq_4,eq_5,eq_6,eq_7,eq_8
AUTOMATIC1111/stable-diffusion-webui,2022-08-22,7,1.2606682701663139,4.142857142857143,0.0,True,2022-10-11,-7.0,0,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-08-29,9,1.27035918845122,6.444444444444445,0.0,True,2022-10-11,-6.0,0,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-09-05,37,1.498503619166025,12.675675675675675,0.0,True,2022-10-11,-5.0,0,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-09-12,82,1.3245060804065,9.487804878048781,0.0,True,2022-10-11,-4.0,0,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-09-19,67,1.833958820351965,27.253731343283583,0.0,True,2022-10-11,-3.0,0,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-09-26,96,2.9272819927130898,156.28125,0.0,True,2022-10-11,-2.0,0,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-10-03,86,2.616394653876024,94.48837209302326,0.0,True,2022-10-11,-1.0,0,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-10-10,141,2.523731795718582,178.04255319148936,0.0,True,2022-10-11,-0.0,0,1,0,-0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-10-17,116,3.1068859161947016,219.41379310344828,0.0,True,2022-10-11,1.0,1,1,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2022-10-24,123,3.6752423635177824,263.6016260162602,0.0,True,2022-10-11,2.0,1,1,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
